Class,730nm,760nm,810nm,860nm,900nm,940nm,Brix (%),Sample No.
Sweet,-0.34239916653281843,-0.42072564286901964,-0.2216770202752606,2.027576019316734,-0.478812379717541,-0.5610674004591514,10.0,24
Sweet,-0.3306275420573924,-0.4223018038733646,-0.20411249918438124,2.0244565279176623,-0.4938530364139788,-0.5718474810537142,8.8,25
Not Sweet,-0.32766228562204863,-0.42480150165287783,-0.19057236122876647,2.022949607202502,-0.49797923215135365,-0.5761368684743053,6.6,26
Sweet,-0.3288662107390441,-0.425335934987925,-0.19481521143440372,2.0227382735245505,-0.49770177156410744,-0.5764115181929124,8.2,27
Sweet,-0.3336015711398565,-0.42454378861705944,-0.1966682257656633,2.0235870587974785,-0.49476745911276443,-0.5751809058760757,8.2,28
Sweet,-0.335006108023606,-0.42274851544183456,-0.2084338512550424,2.0254044891637477,-0.49056066806373866,-0.5661785827437564,9.6,29
Not Sweet,-0.3394511097555016,-0.42161299432302046,-0.20521320443116603,2.025545605816273,-0.49636386096176777,-0.5626462163260816,7.0,30
Not Sweet,-0.33735346138680244,-0.42080979894808324,-0.2176710084636035,2.0262089014195563,-0.48816384942720314,-0.5624936637653057,6.6,31
Not Sweet,-0.3267372778106397,-0.42195983414974886,-0.2005123378085033,2.0240352478265455,-0.49473207387430207,-0.5741582067595268,7.0,32
Not Sweet,-0.33069591085410727,-0.42413853528492956,-0.2049395933231216,2.0247180449082776,-0.49239112866339774,-0.5749677677656244,7.8,33
Sweet,-0.33611624835076515,-0.4198862443303344,-0.20936889446594256,2.0262159097756705,-0.48304908132458385,-0.5646491404624016,9.0,34
Sweet,-0.33498010981897086,-0.42176059649887643,-0.22553366649624768,2.0265668691784886,-0.48069227158652567,-0.5664039872716615,8.2,35
Not Sweet,-0.3284560300653123,-0.42139246293087174,-0.19902484140580184,2.0236954826265174,-0.49866761842991386,-0.5738643808536414,7.2,36
Not Sweet,-0.3285012724706685,-0.425280373748663,-0.1868307192531395,2.022837068532768,-0.49859154835243036,-0.5791138900890294,7.4,37
Sweet,-0.33820983600495375,-0.42142159029329407,-0.22477447611385762,2.0268089072083098,-0.4830639168586985,-0.5608950852052021,9.0,38
Not Sweet,-0.33241542625114373,-0.4240280724465593,-0.19892476710314988,2.023885924897483,-0.49538689413829984,-0.5729923170474184,6.0,39
Not Sweet,-0.3305367511921058,-0.42460982120163193,-0.20285068249813493,2.0245140113251967,-0.4947812203865261,-0.5724685698402768,7.4,40
Sweet,-0.3319536862096243,-0.4222831135064627,-0.2145623741663383,2.025614479824998,-0.49008992168998883,-0.5668729417078491,8.0,41
Sweet,-0.3334721000861689,-0.42373504048585187,-0.2082435074134992,2.025392946523617,-0.48928297107904806,-0.5667755246568946,8.6,42
Not Sweet,-0.3327613685904476,-0.42412513166323057,-0.20945822757010837,2.02577009367301,-0.49248233785397466,-0.5669672007710984,7.0,43
Not Sweet,-0.331184846400619,-0.42206316542885836,-0.20779878771248256,2.024879726419253,-0.496736604946434,-0.5677108719091601,6.2,44
Sweet,-0.33175232489664547,-0.4211505313147251,-0.20339864370509,2.024626988255801,-0.4951672157802101,-0.5729031798011187,8.0,45
Not Sweet,-0.33273814691790016,-0.4176887097507206,-0.21804298881633372,2.0263055657707794,-0.4885405673729042,-0.5646314715733285,6.8,46
Sweet,-0.3333345076710448,-0.42278618284011965,-0.20495042899368315,2.0244282417461132,-0.4963964797272772,-0.5657412720065821,8.6,47
Sweet,-0.3327274832577591,-0.4213643584902715,-0.2059106487374633,2.0248051298969547,-0.49397019266005676,-0.5696258464020584,8.0,48
Sweet,-0.33321241508696753,-0.42188209901684287,-0.20628596730986398,2.02453014790519,-0.49137666249931655,-0.5717836742087663,8.8,49
